geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:
"X: 490655.7425, Y: 5459899.5174, Z: NaN",Homicide,2021-04-17T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 491605.3698, Y: 5459492.2032, Z: NaN",Homicide,2021-09-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492041.4827, Y: 5458821.4409, Z: NaN",Homicide,2021-01-31T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492107.462, Y: 5458586.3813, Z: NaN",Homicide,2021-04-04T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492414.4911, Y: 5458500.8484, Z: NaN",Homicide,2021-03-17T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492552.7913, Y: 5458706.3333, Z: NaN",Homicide,2021-11-11T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492567.4329, Y: 5458623.4083, Z: NaN",Homicide,2021-07-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District
"X: 492779.2196, Y: 5458926.7517, Z: NaN",Homicide,2021-12-22T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona
"X: 492967.4329, Y: 5458623.4083, Z: NaN",Homicide,2021-07-20T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona
"X: 494677.8917, Y: 5457616.3955, Z: NaN",Homicide,2021-08-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Grandview-Woodland
"X: 493591.7588, Y: 5452107.5337, Z: NaN",Homicide,2021-10-30T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Sunset
"X: 495376.8803, Y: 5452491.9458, Z: NaN",Homicide,2021-06-28T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Victoria-Fraserview
"X: 496525.5624, Y: 5450585.0621, Z: NaN",Homicide,2021-06-04T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Killarney
"X: 498112.9906, Y: 5453880.2937, Z: NaN",Homicide,2021-05-22T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Renfrew-Collingwood
"X: 486810.4512, Y: 5456752.8851, Z: NaN",Homicide,2021-04-24T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kitsilano
"X: 487467.6601, Y: 5457608.0926, Z: NaN",Homicide,2021-12-10T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kitsilano
"X: 488250.2513, Y: 5452081.3315, Z: NaN",Homicide,2021-07-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kerrisdale
"X: 491536.6566, Y: 5454921.7674, Z: NaN",Homicide,2021-01-31T08:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,South Cambie
